previous_state,estimate,margin_of_error,year
FL,37585,5425.0,2018
VA,35641,5098.0,2016
FL,33594,4235.0,2017
FL,32234,4173.0,2016
SC,32088,5480.0,2016
VA,31390,3901.0,2015
VA,30058,4051.0,2013
FL,30032,3587.0,2019
VA,29764,3898.0,2019
NY,29702,4307.0,2016
FL,28983,4184.0,2010
SC,28508,4023.0,2017
VA,28250,3587.0,2014
FL,28044,4471.0,2011
VA,27843,3265.0,2018
VA,27833,4184.0,2017
FL,27771,3998.0,2015
SC,27740,4708.0,2019
SC,27321,4245.0,2015
VA,27302,4012.0,2011
NY,27031,4381.0,2017
VA,26759,4229.0,2012
SC,26379,3891.0,2014
FL,26365,3750.0,2012
NY,26255,5050.0,2014
SC,26091,3845.0,2018
VA,25662,3825.0,2010
NY,25596,4168.0,2018
FL,25532,4246.0,2014
SC,25532,4732.0,2012
GA,24882,4888.0,2016
FL,24551,4252.0,2013
NY,23594,3163.0,2015
NY,23571,3910.0,2019
SC,23196,4788.0,2010
SC,22996,3454.0,2013
NY,22751,3821.0,2013
CA,22469,4025.0,2017
GA,20440,3273.0,2013
SC,20427,3260.0,2011
NY,19891,3951.0,2012
NY,19406,3099.0,2010
GA,19017,3783.0,2019
TX,18748,3731.0,2018
NY,18321,3621.0,2011
CA,18023,3467.0,2019
GA,17676,2824.0,2015
CA,17653,2958.0,2016
CA,17536,3401.0,2018
GA,17020,2890.0,2018
CA,16985,3902.0,2015
GA,16892,3013.0,2017
GA,16823,2851.0,2012
CA,16699,3085.0,2010
CA,16448,3465.0,2014
GA,16192,3163.0,2011
GA,15943,3370.0,2010
GA,15696,3087.0,2014
TX,15604,3577.0,2014
CA,15373,5531.0,2011
NJ,15297,3625.0,2019
TX,15245,3038.0,2015
TX,14655,3149.0,2017
TX,14329,3409.0,2010
CA,14315,2791.0,2013
TX,14226,3058.0,2019
CA,13883,2813.0,2012
MD,13538,3445.0,2013
PA,13506,2292.0,2016
MD,13408,4234.0,2019
PA,13341,3126.0,2019
PA,13268,3125.0,2013
NJ,13233,3260.0,2015
PA,12979,2740.0,2015
NJ,12697,2741.0,2014
TX,12638,2381.0,2012
PA,12542,3162.0,2017
PA,12179,2356.0,2012
PA,12058,2702.0,2018
TX,11981,2487.0,2016
NJ,11947,3271.0,2018
NJ,11706,2825.0,2016
NJ,11559,2631.0,2017
NJ,11468,4262.0,2012
MD,11383,2566.0,2015
OH,11359,3377.0,2017
PA,11155,2465.0,2010
OH,11082,2979.0,2014
MD,10899,2903.0,2017
PA,10594,1993.0,2014
MD,10485,2304.0,2011
NJ,10374,2643.0,2011
OH,10187,3649.0,2011
TN,9970,2049.0,2019
MD,9881,2730.0,2010
OH,9698,2712.0,2019
MD,9671,1818.0,2016
OH,9665,2081.0,2016
TX,9617,2552.0,2013
PA,9450,2770.0,2011
OH,9431,2358.0,2018
OH,9337,2484.0,2012
TN,9230,2122.0,2012
MA,9053,4920.0,2011
MD,9005,2221.0,2012
OH,8939,2359.0,2013
MD,8717,2731.0,2018
TN,8685,2249.0,2010
OH,8661,2362.0,2010
IL,8568,1928.0,2016
TN,8416,2141.0,2017
TN,8233,2559.0,2016
MD,8196,1815.0,2014
IL,8100,2216.0,2015
NJ,7690,1944.0,2013
MA,7605,2294.0,2017
TN,7575,1867.0,2015
MI,7530,2879.0,2011
TN,7476,2384.0,2018
CT,7425,2315.0,2016
OH,7405,1913.0,2015
TN,7249,1922.0,2013
NJ,7195,1847.0,2010
IL,7134,1922.0,2014
MI,6818,2370.0,2016
WA,6790,3095.0,2018
CT,6709,2898.0,2015
TX,6621,2034.0,2011
MI,6588,2158.0,2015
IL,6544,2204.0,2018
IL,6527,1739.0,2019
IL,6500,2139.0,2013
MI,6438,1724.0,2013
TN,6397,1459.0,2014
IL,6378,2177.0,2012
MI,6339,2316.0,2014
MI,6302,2454.0,2019
MA,6177,1780.0,2013
MI,6161,2547.0,2012
CO,6089,2295.0,2019
TN,6057,2083.0,2011
IL,6013,1609.0,2017
IL,5971,2065.0,2011
AZ,5963,2535.0,2015
WA,5915,2630.0,2012
WA,5896,2266.0,2017
CT,5840,2201.0,2019
MA,5822,1980.0,2018
MI,5793,1790.0,2018
MI,5789,2071.0,2010
CT,5780,2039.0,2017
IL,5657,1875.0,2010
IN,5646,2182.0,2019
AZ,5624,2646.0,2017
CO,5471,1968.0,2018
AL,5420,2338.0,2011
MI,5404,1348.0,2017
MA,5389,1672.0,2019
MA,5387,1498.0,2015
AZ,5319,2022.0,2019
MA,5116,1978.0,2016
CO,5108,2333.0,2014
KS,4995,4644.0,2011
WV,4987,1902.0,2014
CT,4914,1990.0,2012
IN,4903,3085.0,2015
KY,4793,1813.0,2019
CO,4790,2047.0,2012
CT,4754,1888.0,2014
WA,4751,2008.0,2016
KY,4702,1472.0,2015
AL,4697,1750.0,2019
WV,4624,1449.0,2018
MO,4563,2065.0,2016
CO,4554,1429.0,2013
IN,4532,2259.0,2012
AL,4526,1707.0,2017
AZ,4437,1555.0,2013
WA,4435,1767.0,2014
KY,4419,1984.0,2010
MO,4394,1691.0,2017
IN,4392,1679.0,2017
AL,4329,1544.0,2012
AZ,4286,2860.0,2011
CO,4285,1353.0,2016
AL,4264,1390.0,2014
IN,4211,1981.0,2016
AK,4199,2237.0,2013
IN,4132,1280.0,2010
MA,4052,1420.0,2010
CO,4021,1511.0,2017
AK,3991,2185.0,2011
CO,3919,1645.0,2011
CT,3918,1886.0,2013
KY,3911,1279.0,2013
KY,3906,1229.0,2018
MA,3880,1243.0,2014
CT,3752,1748.0,2010
AL,3733,1230.0,2015
WV,3722,1222.0,2016
MA,3710,1158.0,2012
WV,3684,1684.0,2013
CO,3634,1319.0,2015
AZ,3539,1228.0,2016
IN,3506,1459.0,2018
AZ,3493,1189.0,2012
AL,3491,1552.0,2016
LA,3491,1407.0,2017
MS,3441,1854.0,2018
WV,3423,1629.0,2017
KY,3409,1504.0,2016
HI,3402,2708.0,2018
DC,3401,1465.0,2015
WV,3387,1134.0,2015
MN,3342,2998.0,2018
WA,3295,1566.0,2011
AL,3287,1262.0,2018
AL,3268,1477.0,2013
IN,3228,1379.0,2011
MO,3207,1349.0,2015
IA,3180,1574.0,2015
OR,3066,1366.0,2018
AL,3044,1381.0,2010
WV,3025,1129.0,2010
OK,2997,1582.0,2016
MO,2993,1068.0,2018
WA,2984,1206.0,2019
MO,2982,1402.0,2019
HI,2955,1904.0,2019
WV,2950,1455.0,2019
LA,2936,1135.0,2011
HI,2910,1238.0,2015
WA,2874,1166.0,2010
KY,2872,1739.0,2014
AZ,2847,1062.0,2010
WV,2780,1517.0,2011
MN,2769,1255.0,2017
CT,2702,1271.0,2018
WV,2677,985.0,2012
MO,2638,1150.0,2011
MN,2635,1164.0,2015
LA,2632,1150.0,2015
KS,2627,1247.0,2014
MO,2623,1742.0,2012
AZ,2622,969.0,2018
WI,2600,1205.0,2016
MO,2572,971.0,2014
LA,2562,1282.0,2016
HI,2546,1593.0,2014
AK,2467,1100.0,2014
LA,2454,1008.0,2018
MN,2447,1172.0,2019
MN,2427,1812.0,2014
MS,2377,1092.0,2012
IN,2349,1058.0,2014
NM,2306,1610.0,2018
WI,2291,1192.0,2011
WI,2266,980.0,2012
KS,2260,1117.0,2015
ME,2259,990.0,2010
AZ,2246,954.0,2014
KS,2245,1799.0,2016
KS,2192,1266.0,2010
DC,2183,883.0,2017
DE,2180,1732.0,2012
LA,2180,1222.0,2010
NV,2165,1189.0,2013
NH,2130,1440.0,2010
NV,2111,987.0,2016
NH,2078,1738.0,2011
AK,2059,1052.0,2016
OK,2034,1101.0,2018
DC,2032,694.0,2013
DC,2031,742.0,2018
WI,2012,910.0,2010
DE,1988,1812.0,2018
IA,1976,1347.0,2018
AR,1976,1541.0,2019
OR,1976,1006.0,2019
CT,1975,820.0,2011
MN,1969,823.0,2013
NM,1958,1186.0,2015
MO,1932,965.0,2010
WA,1929,862.0,2013
NH,1923,1130.0,2013
WI,1920,904.0,2018
ME,1904,1085.0,2015
AR,1897,948.0,2018
WI,1895,801.0,2017
IN,1888,992.0,2013
WA,1883,859.0,2015
NV,1870,1269.0,2014
NH,1862,1091.0,2018
NV,1854,1712.0,2015
CO,1842,1052.0,2010
MN,1839,844.0,2010
KS,1815,941.0,2018
HI,1806,1362.0,2011
DC,1801,687.0,2012
OR,1796,1013.0,2010
MN,1782,834.0,2016
OR,1778,1166.0,2017
NV,1758,959.0,2017
IA,1753,1508.0,2014
OK,1743,1271.0,2013
NM,1737,1297.0,2011
DC,1737,813.0,2016
UT,1735,991.0,2018
SD,1730,1235.0,2015
DC,1724,618.0,2014
MS,1723,970.0,2017
ME,1715,739.0,2014
WI,1710,856.0,2014
OK,1705,911.0,2019
DC,1700,896.0,2019
DC,1691,548.0,2010
DE,1676,948.0,2015
MS,1661,799.0,2013
WI,1643,891.0,2019
KY,1637,786.0,2011
NE,1631,1571.0,2015
NV,1627,807.0,2012
AK,1618,1103.0,2010
KS,1595,748.0,2012
DE,1595,1123.0,2019
KS,1590,1048.0,2017
AK,1568,930.0,2019
HI,1567,871.0,2010
HI,1566,921.0,2012
AK,1562,728.0,2018
NH,1548,652.0,2016
RI,1535,1710.0,2018
KY,1531,759.0,2017
KY,1531,794.0,2012
RI,1531,1184.0,2019
MN,1523,838.0,2012
MS,1509,1008.0,2016
LA,1474,1072.0,2013
HI,1463,974.0,2017
AK,1458,925.0,2012
OK,1453,717.0,2010
WI,1449,749.0,2013
OR,1442,710.0,2013
AK,1401,788.0,2017
OK,1390,684.0,2011
IA,1380,808.0,2013
HI,1365,858.0,2016
RI,1356,891.0,2014
AR,1350,861.0,2013
OR,1333,772.0,2012
ME,1324,947.0,2016
OR,1311,634.0,2014
MN,1294,825.0,2011
UT,1278,857.0,2015
MS,1273,829.0,2011
LA,1272,785.0,2019
UT,1271,845.0,2016
NM,1270,1351.0,2019
ID,1267,855.0,2016
OK,1263,753.0,2012
OR,1263,743.0,2016
OK,1260,519.0,2017
ME,1259,972.0,2012
KS,1237,608.0,2013
ME,1235,878.0,2018
IA,1227,764.0,2019
WI,1217,608.0,2015
VT,1208,742.0,2018
MO,1207,581.0,2013
NH,1202,661.0,2014
LA,1195,473.0,2014
NH,1195,933.0,2015
UT,1189,1040.0,2012
MS,1187,818.0,2010
DE,1186,653.0,2017
NM,1186,1065.0,2010
ND,1176,1211.0,2015
OR,1175,826.0,2011
NM,1143,736.0,2013
NM,1138,705.0,2012
AR,1135,644.0,2016
DC,1135,591.0,2011
UT,1125,738.0,2019
DE,1111,594.0,2013
NE,1096,808.0,2014
NV,1094,773.0,2019
UT,1084,861.0,2013
IA,1077,806.0,2010
OK,1067,637.0,2015
NE,1056,1334.0,2011
NE,1052,584.0,2018
NV,1048,716.0,2011
NM,1047,892.0,2017
WY,1046,920.0,2018
MS,1029,688.0,2014
HI,1016,656.0,2013
ME,1014,658.0,2017
MT,1004,803.0,2019
ND,980,952.0,2019
IA,978,692.0,2017
UT,961,692.0,2011
DE,955,841.0,2016
DE,954,600.0,2011
NM,930,822.0,2014
LA,919,758.0,2012
RI,897,705.0,2016
WY,870,819.0,2010
NH,867,593.0,2019
VT,863,636.0,2013
AR,861,649.0,2012
NV,857,752.0,2018
KS,857,529.0,2019
RI,838,626.0,2015
ME,824,663.0,2011
MS,818,347.0,2019
DE,812,539.0,2014
UT,790,551.0,2010
IA,775,524.0,2012
NH,754,525.0,2012
ID,750,767.0,2013
MT,750,622.0,2013
AR,747,447.0,2017
SD,743,701.0,2016
OR,733,582.0,2015
ID,729,787.0,2015
ID,724,564.0,2010
MS,721,408.0,2015
AR,707,598.0,2015
NV,698,639.0,2010
VT,691,577.0,2015
OK,685,410.0,2014
ID,675,615.0,2011
WY,675,644.0,2014
ND,668,510.0,2016
UT,655,541.0,2014
IA,654,530.0,2011
NE,648,506.0,2013
NE,628,628.0,2012
UT,623,401.0,2017
ME,615,581.0,2013
VT,608,492.0,2016
WY,604,687.0,2012
WY,582,435.0,2015
AK,578,475.0,2015
MT,576,666.0,2015
AR,571,371.0,2014
ND,571,448.0,2017
SD,565,609.0,2011
VT,564,388.0,2014
MT,563,549.0,2011
RI,560,349.0,2013
AR,550,306.0,2010
SD,542,560.0,2014
ME,526,339.0,2019
VT,524,486.0,2017
NE,516,357.0,2010
ND,501,355.0,2014
IA,480,365.0,2016
DE,479,354.0,2010
ID,476,326.0,2019
NM,462,357.0,2016
VT,445,291.0,2012
RI,444,384.0,2011
VT,435,343.0,2019
MT,433,437.0,2017
SD,362,304.0,2010
SD,351,186.0,2012
VT,350,244.0,2010
ID,334,256.0,2012
MT,331,417.0,2018
AR,327,322.0,2011
ID,293,272.0,2014
RI,290,198.0,2012
NH,273,226.0,2017
NE,259,275.0,2017
ID,244,255.0,2018
MT,244,306.0,2012
ND,243,402.0,2010
RI,234,226.0,2017
MT,230,274.0,2010
NE,217,240.0,2019
VT,212,345.0,2011
MT,207,245.0,2014
ND,206,232.0,2012
ND,189,272.0,2011
SD,185,394.0,2019
ND,177,217.0,2018
NE,164,195.0,2016
WY,161,239.0,2019
WY,159,212.0,2017
WY,153,228.0,2011
WY,145,175.0,2016
MT,139,178.0,2016
ID,97,163.0,2017
RI,97,161.0,2010
SD,57,100.0,2018
WY,35,56.0,2013
SD,12,22.0,2017
ND,0,149.0,2013
SD,0,155.0,2013
